datetime,PM2.5,NO2,SO2,wind_speed,wind_direction,humidity,temperature,pressure,solar_radiation,rainfall,PM10,hour_sin,hour_cos,month_sin,month_cos,day_sin,day_cos,u_wind,v_wind,PM2.5_lag_1,PM2.5_lag_2,PM2.5_lag_6,PM2.5_lag_12,PM2.5_lag_24,PM2.5_roll_mean_3h,PM2.5_roll_std_3h,PM2.5_roll_mean_24h,PM10_lag_1,PM10_lag_2,PM10_lag_6,PM10_lag_12,PM10_lag_24,PM10_roll_mean_3h,PM10_roll_std_3h,PM10_roll_mean_24h,temperature_lag_1,temperature_lag_2,temperature_lag_6,temperature_lag_12,temperature_lag_24,temperature_roll_mean_3h,temperature_roll_std_3h,temperature_roll_mean_24h,humidity_lag_1,humidity_lag_2,humidity_lag_6,humidity_lag_12,humidity_lag_24,humidity_roll_mean_3h,humidity_roll_std_3h,humidity_roll_mean_24h,wind_speed_lag_1,wind_speed_lag_2,wind_speed_lag_6,wind_speed_lag_12,wind_speed_lag_24,wind_speed_roll_mean_3h,wind_speed_roll_std_3h,wind_speed_roll_mean_24h
2025-01-01 00:00:00,1.0,59.0,95.7,0.0,264.44,99.35,26.16,1011.26,0.0,0.0,3.95,0.0,1.0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,3.95,3.95,3.95,3.95,3.95,3.95,0.0,3.95,26.16,26.16,26.16,26.16,26.16,26.16,0.0,26.16,99.35,99.35,99.35,99.35,99.35,99.35,0.0,99.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 00:30:00,1.2,59.5,103.6,0.0,285.52,99.79,26.07,1010.85,0.0,0.0,4.24,0.13052619222005157,0.9914448613738104,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.1,0.1414213562373094,1.1,3.95,3.95,3.95,3.95,3.95,4.095000000000001,0.2050609665440985,4.095000000000001,26.16,26.16,26.16,26.16,26.16,26.115000000000002,0.06363961030679044,26.115000000000002,99.35,99.35,99.35,99.35,99.35,99.57,0.31112698372209435,99.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 01:00:00,0.8,60.8,131.3,0.0,291.67,99.9,25.92,1010.6,0.0,0.0,3.66,0.25881904510252074,0.9659258262890683,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.0,-0.0,1.2,1.0,1.0,1.0,1.0,1.0,0.19999999999999996,1.0,4.24,3.95,3.95,3.95,3.95,3.9500000000000006,0.2900000000000002,3.9500000000000006,26.07,26.16,26.16,26.16,26.16,26.05,0.12124355652982138,26.05,99.79,99.35,99.35,99.35,99.35,99.68,0.2910326442171182,99.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 01:30:00,0.8,59.5,106.4,0.0,278.07,99.9,25.69,1010.17,0.0,0.0,3.66,0.3826834323650898,0.9238795325112867,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.0,-0.0,0.8,1.2,1.0,1.0,1.0,0.95,0.19148542155126758,0.95,3.66,4.24,3.95,3.95,3.95,3.8775000000000004,0.2776538612493383,3.8775000000000004,25.92,26.07,26.16,26.16,26.16,25.96,0.2054263858417411,25.96,99.9,99.79,99.35,99.35,99.35,99.735,0.2618523757132499,99.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 02:00:00,0.8,59.2,101.8,0.0,227.96,99.9,25.58,1009.93,0.0,0.0,3.66,0.49999999999999994,0.8660254037844387,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.0,0.0,0.8,0.8,1.0,1.0,1.0,0.9199999999999999,0.1788854381999831,0.9199999999999999,3.66,3.66,3.95,3.95,3.95,3.8340000000000005,0.25938388538997587,3.8340000000000005,25.69,25.92,26.16,26.16,26.16,25.884000000000004,0.24602845363900555,25.884000000000004,99.9,99.9,99.35,99.35,99.35,99.768,0.2384743172754776,99.768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 02:30:00,0.8,58.8,96.5,0.0,292.37,99.9,25.5,1009.52,0.0,0.0,3.66,0.6087614290087207,0.7933533402912352,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.0,-0.0,0.8,0.8,1.0,1.0,1.0,0.9,0.16733200530681505,0.9,3.66,3.66,3.95,3.95,3.95,3.805,0.24263140769488217,3.805,25.58,25.69,26.16,26.16,26.16,25.820000000000004,0.27018512172212644,25.820000000000004,99.9,99.9,99.35,99.35,99.35,99.79,0.22000000000000958,99.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 03:00:00,0.8,58.3,95.3,0.0,295.22,99.9,25.46,1009.22,0.0,0.0,3.66,0.7071067811865476,0.7071067811865476,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.0,-0.0,0.8,0.8,1.0,1.0,1.0,0.8666666666666667,0.1632993161855451,0.8857142857142858,3.66,3.66,3.95,3.95,3.95,3.7566666666666673,0.23678400846904094,3.7842857142857147,25.5,25.58,26.16,26.16,26.16,25.703333333333333,0.24385788210895853,25.768571428571427,99.9,99.9,99.35,99.35,99.35,99.88166666666666,0.044907311951037795,99.80571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 03:30:00,0.8,57.8,105.3,0.0,294.03,99.9,25.34,1009.05,0.0,0.0,3.66,0.7933533402912352,0.6087614290087207,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.0,-0.0,0.8,0.8,1.2,1.0,1.0,0.8,0.0,0.875,3.66,3.66,4.24,3.95,3.95,3.66,0.0,3.7687500000000003,25.46,25.5,26.07,26.16,26.16,25.581666666666667,0.2030188825372324,25.715,99.9,99.9,99.79,99.35,99.35,99.9,3.3527612686157227e-08,99.81750000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 04:00:00,0.8,57.6,90.7,0.0,254.31,99.9,25.13,1008.84,0.0,0.0,3.66,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.0,0.0,0.8,0.8,0.8,1.0,1.0,0.8,0.0,0.8666666666666667,3.66,3.66,3.66,3.95,3.95,3.66,0.0,3.756666666666667,25.34,25.46,25.92,26.16,26.16,25.45,0.19575494885187367,25.65,99.9,99.9,99.9,99.35,99.35,99.9,3.3527612686157227e-08,99.82666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-01 04:30:00,1.0,57.9,99.2,0.0,44.56,99.9,25.02,1008.72,0.0,0.0,3.95,0.9238795325112867,0.38268343236508984,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,-0.0,-0.0,0.8,0.8,0.8,1.0,1.0,0.8333333333333334,0.08164965809277258,0.8800000000000001,3.66,3.66,3.66,3.95,3.95,3.7083333333333335,0.11839200423452029,3.7760000000000007,25.13,25.34,25.69,26.16,26.16,25.338333333333335,0.2209449403509068,25.587,99.9,99.9,99.9,99.35,99.35,99.9,3.3527612686157227e-08,99.834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
